1	0.510929	0	0.082559	0
2	0.762216	-nan	0.124415	-nan
3	0.75666	-nan	0.124463	-nan
4	0.694995	-nan	0.11424	-nan
5	0.640447	-nan	0.105384	-nan
6	0.606148	-nan	0.100166	-nan
7	0.587273	-nan	0.0973253	-nan
8	0.576002	-nan	0.0958736	-nan
9	0.567055	-nan	0.0939605	-nan
10	0.559089	-nan	0.0927056	-nan
11	0.553203	-nan	0.0914695	-nan
12	0.546451	-nan	0.0907339	-nan
13	0.540633	-nan	0.0901608	-nan
14	0.536478	-nan	0.0898028	-nan
15	0.533701	-nan	0.0890726	-nan
16	0.531488	-nan	0.0887309	-nan
17	0.529142	-nan	0.0881337	-nan
18	0.528281	-nan	0.0880197	-nan
19	0.527113	-nan	0.0877451	-nan
20	0.5255	-nan	0.0874253	-nan
21	0.524318	-nan	0.0872345	-nan
22	0.522901	-nan	0.0871281	-nan
23	0.521881	-nan	0.0868307	-nan
24	0.521626	-nan	0.0865981	-nan
25	0.520929	-nan	0.0864467	-nan
26	0.520138	-nan	0.0864186	-nan
27	0.519599	-nan	0.0863648	-nan
28	0.518928	-nan	0.0863655	-nan
29	0.518301	-nan	0.0862785	-nan
30	0.517438	-nan	0.086242	-nan
31	0.517384	-nan	0.0860901	-nan
32	0.517022	-nan	0.0860399	-nan
33	0.517012	-nan	0.0858732	-nan
34	0.516468	-nan	0.0858763	-nan
35	0.515638	-nan	0.085818	-nan
36	0.51495	-nan	0.0856164	-nan
37	0.514809	-nan	0.0855685	-nan
38	0.514415	-nan	0.0855248	-nan
39	0.51407	-nan	0.085459	-nan
40	0.513932	-nan	0.0853655	-nan
41	0.513308	-nan	0.0852718	-nan
42	0.512869	-nan	0.08528	-nan
43	0.512781	-nan	0.085321	-nan
44	0.512714	-nan	0.0853373	-nan
45	0.512377	-nan	0.0851987	-nan
46	0.512164	-nan	0.085102	-nan
47	0.512048	-nan	0.0850262	-nan
48	0.511795	-nan	0.0849546	-nan
49	0.511418	-nan	0.0848904	-nan
50	0.511356	-nan	0.0848581	-nan
51	0.510978	-nan	0.0848642	-nan
52	0.510844	-nan	0.0848161	-nan
53	0.51061	-nan	0.0847676	-nan
54	0.510287	-nan	0.0847052	-nan
55	0.510434	-nan	0.0847096	-nan
56	0.510237	-nan	0.0846196	-nan
57	0.510222	-nan	0.0845914	-nan
58	0.509937	-nan	0.0845687	-nan
59	0.509772	-nan	0.0845681	-nan
60	0.509538	-nan	0.0844919	-nan
61	0.509515	-nan	0.0844089	-nan
62	0.509207	-nan	0.0844183	-nan
63	0.509068	-nan	0.0844088	-nan
64	0.509002	-nan	0.0844467	-nan
65	0.508983	-nan	0.0844827	-nan
66	0.508951	-nan	0.0844087	-nan
67	0.508985	-nan	0.0843781	-nan
68	0.508937	-nan	0.0843241	-nan
69	0.508672	-nan	0.0843085	-nan
70	0.508554	-nan	0.0842763	-nan
71	0.508496	-nan	0.0842819	-nan
72	0.508331	-nan	0.0843402	-nan
73	0.50834	-nan	0.084375	-nan
74	0.508057	-nan	0.0843743	-nan
75	0.50789	-nan	0.0843753	-nan
76	0.507565	-nan	0.0843609	-nan
77	0.507497	-nan	0.0843377	-nan
78	0.50721	-nan	0.0843728	-nan
79	0.507045	-nan	0.0843563	-nan
80	0.507055	-nan	0.08435	-nan
81	0.507058	-nan	0.0843385	-nan
82	0.506877	-nan	0.084309	-nan
83	0.506777	-nan	0.0843044	-nan
84	0.506885	-nan	0.084265	-nan
85	0.506955	-nan	0.0842364	-nan
86	0.506802	-nan	0.0842033	-nan
87	0.50661	-nan	0.0841759	-nan
88	0.506337	-nan	0.0841864	-nan
89	0.506302	-nan	0.0841815	-nan
90	0.506322	-nan	0.0841641	-nan
91	0.506484	-nan	0.0841181	-nan
92	0.506524	-nan	0.0841237	-nan
93	0.506487	-nan	0.0841038	-nan
94	0.506529	-nan	0.0840851	-nan
95	0.506445	-nan	0.0841024	-nan
96	0.506345	-nan	0.0841246	-nan
97	0.506424	-nan	0.0841541	-nan
98	0.506376	-nan	0.0841388	-nan
99	0.506361	-nan	0.0841358	-nan
100	0.506371	-nan	0.0840912	-nan
